"cnt","covid_dx","symptom_text"
67832,,
66685,"no Dx covid",
34887,,"no Sx covid"
34741,"no Dx covid","no Sx covid"
19545,,"Fever or chills"
18610,"no Dx covid","Fever or chills"
17911,,"Nausea or vomiting"
17593,,"Cough"
17423,"no Dx covid","Nausea or vomiting"
16757,"no Dx covid","Cough"
14691,,"Diarrhea"
14222,"no Dx covid","Diarrhea"
9621,,"Congestion or runny nose"
9146,"no Dx covid","Congestion or runny nose"
7453,,"Headache"
7157,"no Dx covid","Headache"
7036,,"Sore throat"
6724,"no Dx covid","Sore throat"
6291,,"Shortness of breath or difficulty breathing"
5971,"no Dx covid","Shortness of breath or difficulty breathing"
4773,,"Fatigue"
4491,"no Dx covid","Fatigue"
2194,"U07.1 COVID19",
1487,,"Muscle or body aches"
1431,"no Dx covid","Muscle or body aches"
1324,"U07.1 COVID19","Fever or chills"
1157,"U07.1 COVID19","Cough"
632,"U07.1 COVID19","Nausea or vomiting"
594,"U07.1 COVID19","Diarrhea"
591,"U07.1 COVID19","Congestion or runny nose"
367,"U07.1 COVID19","Shortness of breath or difficulty breathing"
360,"U07.1 COVID19","Sore throat"
358,"U07.1 COVID19","Headache"
318,,"Anosmia"
316,"U07.1 COVID19","Fatigue"
236,"no Dx covid","Anosmia"
219,"U07.1 COVID19","no Sx covid"
84,"U07.1 COVID19","Anosmia"
60,"U07.1 COVID19","Muscle or body aches"
